Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,23,TOR,47,11,21.4,3.4,7.2,.474,0.4,1.8,.247,3.0,5.4,.549,.504,1.7,2.5,.698,1.8,4.1,6.0,1.0,0.6,0.6,1.1,2.0,9.0,achiupr01
2,Steven Adams,C,29,MEM,42,42,27.0,3.7,6.3,.597,0.0,0.0,.000,3.7,6.2,.599,.597,1.1,3.1,.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,adamsst01
3,Bam Adebayo,C,25,MIA,70,70,35.2,8.2,15.2,.542,0.0,0.2,.083,8.2,15.0,.548,.543,4.4,5.5,.803,2.4,6.8,9.3,3.3,1.2,0.9,2.6,2.9,20.9,adebaba01
4,Ochai Agbaji,SG,22,UTA,51,14,19.0,2.4,5.4,.447,1.3,3.4,.378,1.1,2.0,.563,.565,0.7,0.9,.745,0.7,1.2,1.9,0.9,0.3,0.2,0.5,1.6,6.8,agbajoc01
5,Santi Aldama,PF,22,MEM,70,18,22.0,3.3,7.0,.470,1.3,3.6,.353,2.0,3.4,.596,.562,1.4,1.9,.740,1.1,3.6,4.7,1.3,0.6,0.6,0.7,1.9,9.2,aldamsa01
6,Nickeil Alexander-Walker,SG,24,TOT,51,3,15.6,2.3,5.2,.446,1.0,2.7,.381,1.3,2.5,.516,.545,0.7,1.1,.667,0.3,1.6,1.8,2.0,0.6,0.4,1.0,1.6,6.5,alexani01
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,14.7,2.3,4.7,.488,1.0,2.4,.402,1.3,2.3,.578,.591,0.8,1.1,.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,alexani01
6,Nickeil Alexander-Walker,SG,24,MIN,15,0,17.9,2.4,6.5,.371,1.2,3.5,.346,1.2,3.0,.400,.464,0.7,1.2,.611,0.3,1.9,2.3,1.6,0.4,0.3,0.5,1.5,6.7,alexani01
7,Grayson Allen,SG,27,MIL,68,66,27.6,3.5,7.9,.446,2.1,5.2,.405,1.4,2.7,.524,.579,1.6,1.8,.911,0.9,2.5,3.3,2.2,0.9,0.2,1.0,1.7,10.8,allengr01
8,Jarrett Allen,C,24,CLE,64,64,33.0,6.0,9.3,.644,0.0,0.1,.111,5.9,9.1,.652,.644,2.4,3.2,.729,3.2,6.7,9.9,1.7,0.8,1.2,1.4,2.3,14.3,allenja01
9,Jose Alvarado,PG,24,NOP,61,10,21.5,3.3,8.0,.411,1.4,4.0,.336,1.9,4.0,.488,.496,1.1,1.3,.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,alvarjo01
10,Kyle Anderson,PF,29,MIN,61,45,27.9,3.5,6.9,.506,0.6,1.5,.416,2.9,5.5,.530,.550,1.6,2.1,.738,0.9,4.4,5.2,4.7,1.1,0.9,1.5,2.1,9.2,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,59,59,32.2,11.2,20.3,.550,0.8,2.8,.285,10.4,17.5,.592,.570,7.9,12.3,.647,2.2,9.5,11.7,5.6,0.8,0.8,3.9,3.2,31.1,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,30,0,4.2,0.3,0.9,.346,0.0,0.2,.000,0.3,0.7,.429,.346,0.1,0.3,.500,0.3,0.7,1.0,0.2,0.1,0.1,0.3,0.5,0.7,antetth01
13,Cole Anthony,PG,22,ORL,54,3,25.6,4.5,10.0,.445,1.2,3.4,.360,3.2,6.6,.489,.506,2.6,2.9,.891,0.8,3.9,4.6,3.9,0.6,0.5,1.5,2.6,12.7,anthoco01
14,OG Anunoby,SF,25,TOR,60,60,35.6,6.2,13.1,.472,2.0,5.3,.386,4.1,7.8,.530,.550,2.3,2.7,.839,1.4,3.6,5.1,1.9,2.0,0.7,2.1,3.0,16.6,anunoog01
15,Ryan Arcidiacono,PG,28,TOT,18,2,7.2,0.4,1.5,.259,0.3,0.9,.375,0.1,0.6,.091,.370,0.0,0.0,,0.0,0.6,0.6,0.9,0.3,0.0,0.3,0.8,1.1,arcidry01
15,Ryan Arcidiacono,PG,28,NYK,11,0,2.4,0.1,0.5,.200,0.1,0.3,.333,0.0,0.2,.000,.300,0.0,0.0,,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3,arcidry01
15,Ryan Arcidiacono,PG,28,POR,7,2,14.7,0.9,3.1,.273,0.7,1.9,.385,0.1,1.3,.111,.386,0.0,0.0,,0.0,1.0,1.0,2.1,0.4,0.0,0.6,1.6,2.4,arcidry01
16,Deni Avdija,SF,22,WAS,72,36,26.2,3.2,7.3,.439,0.9,3.0,.304,2.3,4.4,.532,.501,1.6,2.1,.748,1.0,5.4,6.4,2.6,0.8,0.4,1.5,2.8,8.9,avdijde01
17,Deandre Ayton,C,24,PHO,61,61,30.4,8.0,13.6,.589,0.1,0.4,.292,7.9,13.2,.598,.593,2.2,3.0,.751,2.6,7.5,10.1,1.8,0.6,0.8,1.8,2.8,18.3,aytonde01
18,Udoka Azubuike,C,23,UTA,30,0,7.3,1.2,1.6,.787,0.0,0.0,,1.2,1.6,.787,.787,0.2,0.5,.313,0.8,1.9,2.7,0.3,0.2,0.4,0.5,0.7,2.6,azubuud01
19,Marvin Bagley III,C,23,DET,36,21,23.5,4.9,9.1,.537,0.4,1.5,.259,4.5,7.6,.591,.558,1.8,2.4,.739,2.5,4.2,6.7,0.8,0.5,0.8,1.1,2.1,12.0,baglema01
20,Patrick Baldwin Jr.,SF,20,GSW,26,0,8.1,1.5,3.8,.400,1.2,3.0,.390,0.4,0.9,.435,.550,0.2,0.2,.667,0.0,1.3,1.4,0.3,0.2,0.2,0.4,0.5,4.4,baldwpa01
21,LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20.0,.411,4.0,10.6,.376,4.2,9.4,.450,.510,2.8,3.4,.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,ballla01
22,Mo Bamba,C,24,TOT,47,7,16.2,2.5,5.1,.487,1.0,2.6,.390,1.4,2.4,.591,.588,0.9,1.3,.661,1.2,3.5,4.7,1.0,0.3,0.9,0.6,2.2,6.8,bambamo01
22,Mo Bamba,C,24,ORL,40,6,17.0,2.7,5.4,.495,1.1,2.7,.398,1.6,2.7,.594,.596,0.9,1.3,.686,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,7.3,bambamo01
22,Mo Bamba,C,24,LAL,7,1,11.6,1.4,3.4,.417,0.7,2.1,.333,0.7,1.3,.556,.521,0.9,1.6,.545,1.3,4.0,5.3,0.6,0.1,0.6,1.1,2.4,4.4,bambamo01
23,Paolo Banchero,PF,20,ORL,67,67,33.9,6.7,15.7,.426,1.1,4.0,.286,5.5,11.7,.474,.462,5.5,7.4,.746,1.1,5.5,6.7,3.7,0.9,0.5,2.7,2.3,20.0,banchpa01
24,Desmond Bane,SG,24,MEM,51,51,31.2,7.6,16.0,.474,2.8,7.0,.407,4.7,9.0,.525,.562,3.1,3.5,.888,0.7,4.3,5.0,4.2,1.0,0.4,2.1,2.5,21.1,banede01
25,Dalano Banton,PG,23,TOR,27,2,9.3,1.7,4.1,.411,0.5,1.7,.283,1.2,2.4,.500,.469,0.6,0.7,.789,0.3,1.0,1.3,1.1,0.5,0.4,0.6,1.1,4.4,bantoda01
26,Dominick Barlow,SF,19,SAS,20,0,12.5,1.3,2.6,.490,0.0,0.2,.000,1.3,2.4,.532,.490,0.5,0.8,.667,1.2,1.6,2.8,0.6,0.3,0.6,0.6,2.0,3.0,barlodo01
27,Harrison Barnes,PF,30,SAC,74,74,32.8,4.6,9.7,.473,1.7,4.4,.377,2.9,5.3,.552,.559,4.3,5.0,.847,1.0,3.6,4.6,1.6,0.7,0.1,1.1,1.3,15.1,barneha02
28,Scottie Barnes,PF,21,TOR,69,68,34.9,6.0,13.3,.453,0.9,3.0,.298,5.1,10.3,.498,.486,2.6,3.3,.774,2.4,4.5,6.9,4.7,1.0,0.8,2.0,2.2,15.5,barnesc01
29,RJ Barrett,SG,22,NYK,68,68,34.0,7.0,16.1,.435,1.7,5.3,.318,5.3,10.8,.494,.488,4.0,5.4,.748,0.8,4.2,5.1,2.7,0.4,0.2,2.3,2.5,19.7,barrerj01
30,Will Barton,SG,32,TOT,51,2,18.1,2.4,6.5,.369,1.1,3.2,.350,1.3,3.3,.387,.455,0.7,0.9,.787,0.3,2.3,2.5,2.1,0.5,0.2,0.9,1.0,6.6,bartowi01
30,Will Barton,SG,32,WAS,40,0,19.6,2.8,7.1,.386,1.3,3.5,.377,1.5,3.7,.395,.477,0.9,1.1,.778,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1.0,7.7,bartowi01
30,Will Barton,SG,32,TOR,11,2,13.0,1.1,4.2,.261,0.5,2.3,.200,0.6,1.9,.333,.315,0.2,0.2,1.000,0.3,1.3,1.5,1.0,0.5,0.2,0.3,1.1,2.8,bartowi01
31,Charles Bassey,C,22,SAS,35,2,14.5,2.5,3.9,.644,0.1,0.2,.375,2.4,3.6,.661,.656,0.6,1.1,.595,2.1,3.4,5.5,1.4,0.5,0.9,1.2,2.1,5.7,bassech01
32,Keita Bates-Diop,SF,27,SAS,59,34,21.1,3.3,6.5,.508,0.8,1.9,.398,2.5,4.6,.554,.567,1.6,2.0,.782,1.0,2.5,3.5,1.4,0.7,0.3,0.8,0.9,8.9,bateske01
33,Nicolas Batum,PF,34,LAC,71,12,21.6,2.1,4.9,.422,1.6,4.0,.391,0.5,0.9,.565,.582,0.4,0.6,.689,0.8,3.1,3.9,1.5,0.7,0.6,0.7,1.9,6.1,batumni01
34,Darius Bazley,PF,22,TOT,41,1,14.2,1.8,4.0,.446,0.5,1.2,.388,1.3,2.9,.470,.503,0.9,1.6,.552,0.7,2.4,3.1,0.9,0.5,0.8,0.6,1.0,5.0,bazleda01
34,Darius Bazley,PF,22,OKC,36,1,15.4,2.0,4.4,.449,0.5,1.3,.400,1.5,3.1,.469,.506,1.0,1.8,.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.4,bazleda01
34,Darius Bazley,PF,22,PHO,5,0,5.4,0.6,1.6,.375,0.2,0.8,.250,0.4,0.8,.500,.438,0.2,0.4,.500,0.2,1.0,1.2,0.8,0.4,0.4,0.6,1.0,1.6,bazleda01
35,Bradley Beal,SG,29,WAS,50,50,33.5,8.9,17.6,.506,1.6,4.4,.365,7.3,13.2,.552,.551,3.8,4.6,.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,bealbr01
36,Malik Beasley,SG,26,TOT,73,27,26.5,4.7,11.9,.392,2.9,8.3,.355,1.7,3.6,.477,.516,0.6,0.8,.800,0.4,3.2,3.6,1.6,0.8,0.1,1.1,1.3,12.9,beaslma01
36,Malik Beasley,SG,26,UTA,55,13,26.8,4.8,12.2,.396,3.1,8.6,.359,1.7,3.6,.485,.522,0.7,0.8,.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,13.4,beaslma01
36,Malik Beasley,SG,26,LAL,18,14,25.7,4.2,11.2,.378,2.6,7.5,.341,1.7,3.7,.455,.493,0.4,0.6,.636,0.2,3.3,3.6,1.2,0.9,0.0,1.3,1.3,11.4,beaslma01
37,MarJon Beauchamp,SF,22,MIL,45,9,13.3,1.9,4.8,.402,0.9,2.8,.323,1.0,2.0,.511,.495,0.5,0.7,.697,0.8,1.4,2.2,0.6,0.4,0.1,0.8,1.4,5.2,beaucma01
38,Dāvis Bertāns,PF,30,DAL,41,0,10.6,1.4,3.3,.419,1.1,2.9,.383,0.3,0.4,.688,.588,0.2,0.3,.833,0.2,0.8,1.0,0.5,0.2,0.1,0.2,1.2,4.1,bertada01
39,Patrick Beverley,PG,34,TOT,59,59,27.3,2.1,5.4,.397,1.2,3.5,.340,0.9,1.8,.509,.509,0.8,1.1,.730,0.7,3.1,3.8,2.9,0.8,0.6,0.9,2.9,6.3,beverpa01
39,Patrick Beverley,PG,34,LAL,45,45,26.9,2.2,5.4,.402,1.2,3.5,.348,0.9,1.8,.506,.517,0.9,1.1,.780,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4,beverpa01
39,Patrick Beverley,PG,34,CHI,14,14,28.4,2.1,5.4,.382,1.1,3.6,.314,0.9,1.8,.520,.487,0.5,0.9,.538,1.4,4.7,6.1,3.7,0.6,0.8,1.0,3.2,5.8,beverpa01
40,Saddiq Bey,SF,23,TOT,69,32,27.8,4.5,10.9,.415,2.0,5.4,.371,2.5,5.4,.460,.508,2.9,3.4,.858,1.2,3.4,4.6,1.5,0.9,0.2,1.0,1.6,13.9,beysa01
40,Saddiq Bey,SF,23,DET,52,30,28.8,4.7,11.7,.404,1.9,5.6,.345,2.8,6.0,.460,.488,3.5,4.0,.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,14.8,beysa01
40,Saddiq Bey,SF,23,ATL,17,2,24.7,3.9,8.4,.462,2.2,4.8,.463,1.6,3.6,.459,.594,1.2,1.4,.833,1.3,3.2,4.5,1.0,0.6,0.1,0.7,1.5,11.2,beysa01
41,Khem Birch,C,30,TOR,20,0,8.1,1.0,1.6,.594,0.1,0.1,.500,0.9,1.5,.600,.609,0.2,0.3,.800,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,birchkh01
42,Goga Bitadze,C,23,TOT,30,0,10.5,1.4,2.7,.525,0.2,0.6,.263,1.2,2.0,.607,.556,0.5,1.1,.469,1.4,1.6,3.0,0.9,0.4,0.5,0.5,1.6,3.5,bitadgo01
42,Goga Bitadze,C,23,IND,21,0,9.6,1.3,2.5,.519,0.2,0.7,.286,1.1,1.8,.605,.558,0.5,1.1,.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3,bitadgo01
42,Goga Bitadze,C,23,ORL,9,0,12.6,1.7,3.1,.536,0.1,0.6,.200,1.6,2.6,.609,.554,0.4,0.9,.500,1.8,2.7,4.4,1.1,0.3,0.7,0.2,1.4,3.9,bitadgo01
43,Bismack Biyombo,C,30,PHO,54,13,14.1,1.8,3.2,.579,0.0,0.0,,1.8,3.2,.579,.579,0.3,1.1,.295,1.3,2.8,4.1,0.9,0.3,1.4,0.9,1.9,4.0,biyombi01
44,Buddy Boeheim,PG,23,DET,7,0,9.9,0.6,3.3,.174,0.6,3.1,.182,0.0,0.1,.000,.261,0.3,0.3,1.000,0.3,0.3,0.6,0.4,0.3,0.0,0.0,0.6,2.0,boehebu01
45,Bogdan Bogdanović,SG,30,ATL,48,8,28.4,5.1,11.5,.440,2.7,6.6,.403,2.4,4.9,.491,.556,1.2,1.5,.814,0.4,2.7,3.1,2.8,0.8,0.4,1.3,1.7,14.0,bogdabo01
46,Bojan Bogdanović,PF,33,DET,59,59,32.1,7.3,14.9,.488,2.5,6.0,.411,4.8,9.0,.539,.570,4.5,5.1,.884,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6,bogdabo02
47,Bol Bol,PF,23,ORL,67,32,21.4,3.7,6.6,.566,0.4,1.5,.293,3.3,5.1,.644,.598,1.1,1.5,.760,1.0,4.8,5.8,0.9,0.4,1.2,1.6,1.3,9.0,bolbo01
48,Leandro Bolmaro,SG,22,UTA,14,0,4.9,0.2,1.4,.150,0.0,0.3,.000,0.2,1.1,.188,.150,0.0,0.0,,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4,bolmale01
49,Devin Booker,SG,26,PHO,47,47,34.5,10.3,20.5,.502,2.2,5.9,.368,8.1,14.6,.555,.555,5.5,6.5,.846,0.9,3.7,4.6,5.4,0.9,0.4,2.7,3.0,28.2,bookede01
50,Brandon Boston Jr.,SG,21,LAC,21,1,11.8,2.4,5.8,.421,0.6,1.4,.414,1.9,4.4,.424,.471,1.4,1.8,.763,0.3,1.0,1.4,0.9,0.4,0.0,0.6,1.0,6.8,bostobr01
51,Chris Boucher,PF,30,TOR,68,0,20.1,3.5,7.0,.496,0.8,2.5,.331,2.6,4.4,.589,.556,1.7,2.3,.755,2.2,3.6,5.7,0.4,0.7,0.9,0.5,1.9,9.5,bouchch01
52,James Bouknight,SG,22,CHO,27,0,13.1,1.5,4.5,.328,0.6,2.4,.250,0.9,2.1,.414,.393,0.6,0.8,.682,0.2,1.7,1.9,1.0,0.5,0.1,0.7,1.1,4.1,bouknja01
53,Jamaree Bouyea,PG,23,TOT,5,0,14.2,1.2,2.8,.429,0.4,1.2,.333,0.8,1.6,.500,.500,0.2,0.4,.500,0.2,1.0,1.2,0.8,0.8,0.4,0.8,1.2,3.0,bouyeja01
53,Jamaree Bouyea,PG,23,MIA,4,0,16.3,1.5,3.3,.462,0.5,1.3,.400,1.0,2.0,.500,.538,0.3,0.5,.500,0.3,1.0,1.3,1.0,1.0,0.5,1.0,1.3,3.8,bouyeja01
53,Jamaree Bouyea,PG,23,WAS,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,bouyeja01
54,Tony Bradley,C,25,CHI,12,0,2.8,0.5,1.0,.500,0.3,0.4,.600,0.3,0.6,.429,.625,0.3,0.3,1.000,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6,bradlto01
55,Malaki Branham,SF,19,SAS,58,24,23.1,3.7,8.6,.435,1.1,3.7,.302,2.6,4.9,.535,.500,0.8,0.9,.815,0.5,2.2,2.7,2.0,0.5,0.1,1.2,1.8,9.4,branhma01
56,Jarrell Brantley,PF,26,UTA,3,0,9.7,2.3,4.0,.583,1.3,2.7,.500,1.0,1.3,.750,.750,0.7,0.7,1.000,0.3,1.3,1.7,1.0,0.0,0.7,0.7,1.0,6.7,brantja01
57,Christian Braun,SG,21,DEN,68,3,14.5,1.6,3.3,.491,0.4,1.1,.382,1.2,2.2,.547,.555,0.4,0.7,.625,0.6,1.6,2.2,0.8,0.4,0.2,0.4,1.3,4.1,braunch01
58,Mikal Bridges,SF,26,TOT,75,75,36.0,6.9,14.7,.471,2.0,5.1,.389,5.0,9.6,.515,.539,3.5,3.9,.898,1.0,3.4,4.4,3.3,1.1,0.8,1.5,2.0,19.4,bridgmi01
58,Mikal Bridges,SF,26,PHO,56,56,36.4,6.3,13.6,.463,1.8,4.7,.387,4.5,9.0,.503,.529,2.8,3.1,.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2,bridgmi01
58,Mikal Bridges,SF,26,BRK,19,19,34.7,8.8,17.9,.490,2.5,6.4,.393,6.3,11.5,.543,.560,5.7,6.4,.901,0.8,3.6,4.5,2.6,0.9,0.6,1.7,1.7,25.8,bridgmi01
59,Oshae Brissett,SF,24,IND,58,2,16.3,1.9,4.7,.403,0.8,2.4,.328,1.1,2.3,.478,.485,1.3,1.9,.694,0.9,2.4,3.4,0.6,0.5,0.2,0.4,1.2,5.9,brissos01
60,Malcolm Brogdon,PG,30,BOS,61,0,25.8,5.1,10.6,.482,2.0,4.4,.451,3.1,6.2,.504,.576,2.3,2.7,.877,0.6,3.6,4.2,3.6,0.6,0.3,1.5,1.6,14.5,brogdma01
61,Dillon Brooks,SF,27,MEM,66,66,30.3,5.3,13.6,.392,1.9,5.8,.326,3.4,7.7,.442,.463,1.6,2.1,.788,0.6,2.6,3.3,2.5,0.9,0.2,1.4,3.3,14.2,brookdi01
62,Bruce Brown,SG,26,DEN,73,28,28.1,4.3,8.9,.481,1.2,3.2,.367,3.1,5.6,.547,.549,1.2,1.6,.744,0.7,3.3,4.0,3.3,1.0,0.6,1.6,2.4,10.9,brownbr01
63,Greg Brown III,PF,21,POR,16,0,5.8,0.7,1.8,.393,0.1,0.4,.143,0.6,1.3,.476,.411,0.3,0.8,.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8,browngr01
64,Jaylen Brown,SF,26,BOS,62,62,36.1,10.0,20.4,.491,2.5,7.3,.346,7.5,13.1,.572,.553,4.1,5.4,.772,1.2,5.6,6.9,3.4,1.1,0.4,2.9,2.7,26.7,brownja02
65,Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,.571,0.0,0.2,.000,0.7,1.0,.667,.571,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,brownke03
66,Moses Brown,C,23,LAC,34,1,8.5,1.8,2.8,.635,0.0,0.0,,1.8,2.8,.635,.635,1.0,2.1,.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6,brownmo01
67,Sterling Brown,SG,27,LAL,4,0,6.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0,brownst02
68,Troy Brown Jr.,SF,23,LAL,68,44,24.8,2.7,6.3,.428,1.4,3.8,.374,1.3,2.5,.512,.541,0.5,0.5,.892,0.9,3.3,4.1,1.3,0.8,0.2,0.7,1.6,7.3,browntr01
69,Jalen Brunson,PG,26,NYK,65,65,35.0,8.5,17.4,.489,1.9,4.7,.411,6.6,12.7,.517,.544,4.8,5.8,.833,0.6,3.0,3.6,6.2,0.9,0.2,2.0,2.3,23.8,brunsja01
70,Thomas Bryant,C,25,TOT,57,25,18.3,3.9,6.2,.626,0.4,1.0,.436,3.5,5.3,.661,.660,1.6,2.2,.738,1.5,4.3,5.8,0.5,0.3,0.5,0.6,1.7,9.9,bryanth01
70,Thomas Bryant,C,25,LAL,41,25,21.4,4.8,7.3,.654,0.5,1.2,.440,4.3,6.1,.697,.691,2.0,2.6,.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1,bryanth01
70,Thomas Bryant,C,25,DEN,16,0,10.6,1.6,3.4,.473,0.1,0.3,.400,1.5,3.1,.480,.491,0.8,1.1,.722,1.1,1.9,3.1,0.1,0.1,0.3,0.6,1.3,4.2,bryanth01
71,Reggie Bullock,SF,31,DAL,71,48,30.7,2.5,6.0,.413,2.0,5.1,.390,0.5,0.9,.537,.577,0.4,0.5,.703,0.5,3.2,3.6,1.4,0.7,0.2,0.5,2.2,7.3,bullore01
72,Alec Burks,SG,31,DET,51,8,22.0,3.9,9.0,.436,1.9,4.7,.414,2.0,4.3,.459,.544,3.0,3.7,.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8,burksal01
73,Deonte Burton,SG,29,SAC,2,0,3.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,burtode02
74,Jared Butler,SG,22,OKC,2,0,9.5,1.0,2.0,.500,0.5,1.0,.500,0.5,1.0,.500,.625,0.0,0.0,,0.0,0.5,0.5,2.0,1.5,0.0,1.0,1.5,2.5,butleja02
75,Jimmy Butler,SF,33,MIA,60,60,33.4,7.4,14.0,.530,0.6,1.6,.351,6.8,12.4,.553,.550,7.4,8.8,.850,2.3,3.7,6.0,5.1,1.9,0.4,1.6,1.3,22.8,butleji01
76,John Butler,C,20,POR,11,0,3.6,0.1,0.5,.200,0.0,0.4,.000,0.1,0.1,1.000,.200,0.0,0.0,,0.1,0.2,0.3,0.1,0.1,0.4,0.0,0.3,0.2,butlejo01
77,Jamal Cain,SF,23,MIA,15,0,12.4,1.7,3.3,.520,0.1,0.8,.167,1.6,2.5,.632,.540,0.8,1.1,.750,0.8,1.8,2.6,0.6,0.5,0.0,0.3,1.0,4.4,cainja01
78,Kentavious Caldwell-Pope,SG,29,DEN,71,71,31.6,3.9,8.4,.469,1.8,4.2,.428,2.1,4.2,.510,.576,1.4,1.7,.822,0.5,2.3,2.8,2.5,1.5,0.4,1.1,1.9,11.0,caldwke01
79,Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,.231,0.4,1.4,.273,0.0,0.3,.000,.346,0.1,0.3,.500,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3,campafa01
80,Vlatko Čančar,PF,25,DEN,53,8,15.2,1.9,3.9,.490,0.8,2.0,.400,1.1,1.9,.583,.591,0.6,0.6,.938,0.4,1.8,2.2,1.4,0.3,0.2,0.6,1.5,5.2,cancavl01
81,Clint Capela,C,28,ATL,58,56,26.7,5.4,8.3,.650,0.0,0.0,.000,5.4,8.3,.651,.650,1.2,1.9,.598,4.2,7.0,11.2,0.9,0.7,1.2,0.8,2.1,12.0,capelca01
82,Vernon Carey Jr.,C,21,WAS,11,0,2.5,0.2,0.7,.250,0.0,0.0,,0.2,0.7,.250,.250,0.2,0.2,1.000,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5,careyve01
83,Jevon Carter,PG,27,MIL,74,35,22.1,2.9,6.9,.424,1.7,4.0,.414,1.2,2.8,.438,.545,0.4,0.5,.806,0.4,2.1,2.6,2.4,0.9,0.4,1.0,2.0,7.9,carteje01
84,Wendell Carter Jr.,C,23,ORL,51,48,30.1,5.8,11.0,.525,1.4,3.9,.348,4.4,7.1,.621,.586,2.6,3.5,.746,2.2,6.6,8.9,2.4,0.5,0.6,2.0,2.9,15.6,cartewe01
